Price,Close,High,Low,Open,Volume
Ticker,0048J0.KS,0048J0.KS,0048J0.KS,0048J0.KS,0048J0.KS
Date,,,,,
2025-06-18,13614.640625,13703.754636363636,13604.739068181818,13703.754636363636,88319
2025-06-19,13713.6552734375,13768.113832285086,13649.295158435807,13678.999826898127,86846
2025-06-20,13575.0341796875,13693.852859597237,13570.083401357928,13693.852859597237,91869
2025-06-23,13748.3115234375,13768.114636903021,13659.197512842658,13674.049847941798,111058
2025-06-24,13520.5751953125,13604.738424283687,13515.624417137724,13579.984533409808,150413
2025-06-25,13545.3291015625,13565.132214284084,13476.018207036961,13520.575210660521,102323
2025-06-26,13500.7724609375,13535.427909132059,13466.117012742941,13515.624795878026,117196
2025-06-27,13514.7099609375,13519.687754661603,13469.909817420581,13509.732167213398,69649
2025-06-30,13440.04296875,13549.554429976852,13400.220619212963,13519.687667824073,177384
2025-07-01,13499.7763671875,13499.7763671875,13425.109462501729,13445.0206370846,38918
2025-07-02,13529.6435546875,13569.465905106006,13484.84341046668,13489.821204268994,48597
2025-07-03,13544.576171875,13559.50955243936,13484.842649617558,13494.798236660465,58705
2025-07-04,13559.509765625,13614.26549522187,13529.643004026708,13564.487559224715,84277
2025-07-07,13619.2431640625,13634.176544724849,13559.509641413104,13559.509641413104,83162
2025-07-08,13629.19921875,13683.954949723795,13594.354662675767,13683.954949723795,462403
2025-07-09,13713.8212890625,13713.8212890625,13644.132179063636,13644.132179063636,153660
2025-07-10,13669.021484375,13703.86604023466,13659.065896986525,13703.86604023466,67473
2025-07-11,13713.8212890625,13723.776876205196,13669.021146920373,13669.021146920373,61124
2025-07-14,13768.5771484375,13768.5771484375,13708.843625016947,13728.754799490463,118015
2025-07-15,13773.5546875,13823.332622763824,13768.576893973617,13773.5546875,111542
2025-07-16,13828.310546875,13863.155101888724,13808.399372581443,13808.399372581443,108587
2025-07-17,13898.0,13898.0,13838.2664756447,13838.2664756447,92788
2025-07-18,13912.93359375,13917.911387522361,13868.133449798748,13878.08903734347,77562
2025-07-21,13868.1328125,13912.932954392498,13868.1328125,13912.932954392498,156280
2025-07-22,13858.177734375,13883.066703007138,13818.355384563578,13823.333178290006,73652
2025-07-23,13778.533203125,13813.377759635794,13738.710852826951,13808.399965848537,139904
2025-07-24,13669.021484375,13753.643977177031,13644.132515903815,13718.799421317372,173366
2025-07-25,13783.5107421875,13783.5107421875,13703.866043063266,13708.843836758531,136732
2025-07-28,13808.3994140625,13818.355001239186,13773.554858944102,13793.466033297473,145613
2025-07-29,13898.0,13932.844555873926,13883.066618911176,13902.977793696276,194840
2025-07-30,13835.0,13900.0,13795.0,13900.0,118942
2025-07-31,13885.0,13970.0,13865.0,13880.0,74521
2025-08-01,14015.0,14020.0,13940.0,13940.0,370359
2025-08-04,13860.0,13935.0,13825.0,13930.0,360821
2025-08-05,13905.0,13915.0,13835.0,13865.0,86466
2025-08-06,13920.0,13925.0,13880.0,13905.0,60556
2025-08-07,13835.0,13900.0,13830.0,13880.0,79179
2025-08-08,13915.0,13915.0,13825.0,13850.0,73540
2025-08-11,13910.0,13925.0,13875.0,13915.0,78609
2025-08-12,13930.0,13960.0,13895.0,13930.0,130481
2025-08-13,13860.0,13920.0,13860.0,13885.0,260388
2025-08-14,13865.0,13890.0,13820.0,13820.0,119992
2025-08-18,13895.0,13930.0,13870.0,13930.0,238296
2025-08-19,13935.0,13945.0,13915.0,13915.0,100833
2025-08-20,14035.0,14045.0,13960.0,13985.0,230921
2025-08-21,14035.0,14045.0,14020.0,14040.0,144755
2025-08-22,13985.0,14060.0,13970.0,14050.0,217701
2025-08-25,13905.0,13945.0,13900.0,13905.0,294460
2025-08-26,14015.0,14015.0,13930.0,13955.0,262777
2025-08-27,14020.0,14030.0,14005.0,14015.0,122859
